Date,Open,High,Low,Close,Adj Close,Volume
2021-06-07,14.663104,14.686770,12.695532,12.829677,12.829677,10361824
2021-06-08,12.860847,14.696370,11.402837,13.964580,13.964580,27509815
2021-06-09,13.900669,15.129394,13.153533,13.853187,13.853187,21775154
2021-06-10,13.882490,14.255222,12.854365,13.142213,13.142213,10337608
2021-06-11,13.170202,13.965672,12.689919,13.428812,13.428812,9072337
2021-06-12,13.472470,13.488654,12.140390,12.358774,12.358774,8598858
2021-06-13,12.358720,13.358916,12.278060,13.358916,13.358916,5567999
2021-06-14,13.309664,13.823134,13.107101,13.568522,13.568522,5662999
2021-06-15,13.420212,14.029955,13.255242,13.604229,13.604229,9004771
2021-06-16,13.445268,13.445268,12.835232,13.228953,13.228953,6987217
2021-06-17,13.204667,14.234228,13.052832,14.011769,14.011769,20220071
2021-06-18,14.042262,14.045523,12.525329,12.775646,12.775646,21390478
2021-06-19,12.803191,12.990222,12.550159,12.589841,12.589841,4712758
2021-06-20,12.569769,13.303976,12.192832,12.620508,12.620508,9137243
2021-06-21,12.619863,13.046686,10.500462,10.563062,10.563062,16671585
2021-06-22,10.575377,11.729119,8.805145,10.088377,10.088377,17189556
2021-06-23,10.077074,12.622576,9.641424,11.135846,11.135846,15294028
2021-06-24,11.969646,12.506513,11.380242,12.408586,12.408586,12181996
2021-06-25,12.374869,12.501551,10.891625,11.490919,11.490919,14974135
2021-06-26,11.445869,11.602417,10.405054,11.067402,11.067402,11132575
2021-06-27,11.123967,11.813962,10.587012,11.544784,11.544784,9632715
2021-06-28,11.558750,12.540185,11.276878,12.166242,12.166242,14202104
2021-06-29,12.186651,13.378288,12.108115,12.730103,12.730103,15321290
